x,y,yaw
4.303101814711773,1.5167908492424873,0.0
4.264960945002805,1.5167908492424873,0.0
4.239960944630276,1.5167908492424873,0.0
4.214960944257747,1.5167908492424873,0.0
4.189960943885218,1.5167908492424873,0.0
4.164960943512689,1.5167908492424873,0.0
4.13996094314016,1.5167908492424873,0.0
4.114960942767631,1.5167908492424873,0.0
4.089960942395102,1.5167908492424873,0.0
4.064960942022573,1.5167908492424873,0.0
4.039960941650044,1.5167908492424873,0.0
4.014960941277515,1.5167908492424873,0.0
3.989960940904986,1.5167908492424873,0.0
3.964960940532457,1.5167908492424873,0.0
3.939960940159928,1.5167908492424873,0.0
3.914960939787399,1.5167908492424873,0.0
3.8899609394148698,1.5167908492424873,0.0
3.8649609390423407,1.5167908492424873,0.0
3.8399609386698117,1.5167908492424873,0.0
3.8149609382972827,1.5167908492424873,0.0
3.7899609379247536,1.5167908492424873,0.0
3.7649609375522246,1.5167908492424873,0.0
3.7399609371796956,1.5167908492424873,0.0
3.7149609368071665,1.5167908492424873,0.0
3.6899609364346375,1.5167908492424873,0.0
3.6649609360621085,1.5167908492424873,0.0
3.6399609356895795,1.5167908492424873,0.0
3.6149609353170504,1.5167908492424873,0.0
3.5899609349445214,1.5167908492424873,0.0
3.5649609345719924,1.5167908492424873,0.0
3.5399609341994633,1.5167908492424873,0.0
3.5149609338269343,1.5167908492424873,0.0
3.4899609334544053,1.5167908492424873,0.0
3.4649609330818762,1.5167908492424873,0.0
3.439960932709347,1.5167908492424873,0.0
3.414960932336818,1.5167908492424873,0.0
3.389960931964289,1.5167908492424873,0.0
3.36496093159176,1.5167908492424873,0.0
3.339960931219231,1.5167908492424873,0.0
3.314960930846702,1.5167908492424873,0.0
3.289960930474173,1.5167908492424873,0.0
3.264960930101644,1.5167908492424873,0.0
3.239960929729115,1.5167908492424873,0.0
3.214960929356586,1.5167908492424873,0.0
3.189960928984057,1.5167908492424873,0.0
3.164960928611528,1.5167908492424873,0.0
